experiment_id,timestamp,model_name,feature_set,target_strategy,fold,target,r2,mean_r2,std_r2,runtime_seconds,seed,git_commit,notes
M3c_catboost_direct_history_metadata,2026-06-11T09:03:38.445302+00:00,CatBoostRegressor,history_metadata,direct,2,Q0_TOTAL_STOCKHOLDERS_EQUITY,0.4773393979928471,0.4078270894050678,0.06955625167347039,170.92483509999875,42,00f2bd5,CatBoost direct; median_best_iter=60.
M3c_catboost_direct_history_metadata,2026-06-11T09:03:38.445302+00:00,CatBoostRegressor,history_metadata,direct,2,Q0_GROSS_PROFIT,0.5489983390969142,0.4078270894050678,0.06955625167347039,170.92483509999875,42,00f2bd5,CatBoost direct; median_best_iter=60.
M3c_catboost_direct_history_metadata,2026-06-11T09:03:38.445302+00:00,CatBoostRegressor,history_metadata,direct,2,Q0_COST_OF_REVENUES,0.6345279132288495,0.4078270894050678,0.06955625167347039,170.92483509999875,42,00f2bd5,CatBoost direct; median_best_iter=60.
M3c_catboost_direct_history_metadata,2026-06-11T09:03:38.445302+00:00,CatBoostRegressor,history_metadata,direct,2,Q0_REVENUES,0.6846655537185231,0.4078270894050678,0.06955625167347039,170.92483509999875,42,00f2bd5,CatBoost direct; median_best_iter=60.
M3c_catboost_direct_history_metadata,2026-06-11T09:03:38.445302+00:00,CatBoostRegressor,history_metadata,direct,2,Q0_OPERATING_INCOME,0.33159704911454213,0.4078270894050678,0.06955625167347039,170.92483509999875,42,00f2bd5,CatBoost direct; median_best_iter=60.
M3c_catboost_direct_history_metadata,2026-06-11T09:03:38.445302+00:00,CatBoostRegressor,history_metadata,direct,2,Q0_OPERATING_EXPENSES,0.5671849542167147,0.4078270894050678,0.06955625167347039,170.92483509999875,42,00f2bd5,CatBoost direct; median_best_iter=60.
M3c_catboost_direct_history_metadata,2026-06-11T09:03:38.445302+00:00,CatBoostRegressor,history_metadata,direct,2,Q0_EBITDA,0.005262545600736246,0.4078270894050678,0.06955625167347039,170.92483509999875,42,00f2bd5,CatBoost direct; median_best_iter=60.
M3c_catboost_direct_history_metadata,2026-06-11T09:03:38.445302+00:00,CatBoostRegressor,history_metadata,direct,3,Q0_TOTAL_ASSETS,0.7468100683656567,0.4078270894050678,0.06955625167347039,170.92483509999875,42,00f2bd5,CatBoost direct; median_best_iter=60.
M3c_catboost_direct_history_metadata,2026-06-11T09:03:38.445302+00:00,CatBoostRegressor,history_metadata,direct,3,Q0_TOTAL_LIABILITIES,0.6084784910940636,0.4078270894050678,0.06955625167347039,170.92483509999875,42,00f2bd5,CatBoost direct; median_best_iter=60.
M3c_catboost_direct_history_metadata,2026-06-11T09:03:38.445302+00:00,CatBoostRegressor,history_metadata,direct,3,Q0_TOTAL_STOCKHOLDERS_EQUITY,0.6501828321873115,0.4078270894050678,0.06955625167347039,170.92483509999875,42,00f2bd5,CatBoost direct; median_best_iter=60.
M3c_catboost_direct_history_metadata,2026-06-11T09:03:38.445302+00:00,CatBoostRegressor,history_metadata,direct,3,Q0_GROSS_PROFIT,0.6958255570316223,0.4078270894050678,0.06955625167347039,170.92483509999875,42,00f2bd5,CatBoost direct; median_best_iter=60.
M3c_catboost_direct_history_metadata,2026-06-11T09:03:38.445302+00:00,CatBoostRegressor,history_metadata,direct,3,Q0_COST_OF_REVENUES,0.4497600407304181,0.4078270894050678,0.06955625167347039,170.92483509999875,42,00f2bd5,CatBoost direct; median_best_iter=60.
