fold,mean_r2,r2_Q0_TOTAL_ASSETS,r2_Q0_TOTAL_LIABILITIES,r2_Q0_TOTAL_STOCKHOLDERS_EQUITY,r2_Q0_GROSS_PROFIT,r2_Q0_COST_OF_REVENUES,r2_Q0_REVENUES,r2_Q0_OPERATING_INCOME,r2_Q0_OPERATING_EXPENSES,r2_Q0_EBITDA
0,0.663149029244236,0.0138566225694301,0.7492384300680668,-0.632711651167684,0.9944393188215002,0.9927005911368876,0.989072778635599,0.8761884862072215,0.9976761983013127,0.9878804886257911
1,0.9575204823853333,0.9816058388901673,0.9869447669781689,0.9652409306919971,0.980974641800372,0.9930305146379124,0.9917383226378348,0.7726740464746267,0.9807975981805441,0.9646776811763754
2,0.9779882809310307,0.9983997881729014,0.9945856647113749,0.9689111985597456,0.9885623169483699,0.9862694655122767,0.9911794506130522,0.9320137413245352,0.9875989349962033,0.9543739675408179
3,0.9136810483836061,0.9800365202647787,0.9785301588642158,0.9562220825395177,0.979765126073126,0.8989701775711727,0.9219588331455509,0.6981607711259051,0.9696050434465335,0.8398807224216536
4,0.7217197226197309,0.5212322662142597,0.6740847218833643,0.09907738086508144,0.8927576467077923,0.9889894108671925,0.971939708829349,0.6160736008163317,0.9473993868977904,0.7839233804964167
