fold,mean_r2,r2_Q0_TOTAL_ASSETS,r2_Q0_TOTAL_LIABILITIES,r2_Q0_TOTAL_STOCKHOLDERS_EQUITY,r2_Q0_GROSS_PROFIT,r2_Q0_COST_OF_REVENUES,r2_Q0_REVENUES,r2_Q0_OPERATING_INCOME,r2_Q0_OPERATING_EXPENSES,r2_Q0_EBITDA
0,0.6726027302249014,0.023393237306759018,0.7158564642569899,-0.5563610180864296,0.9944393188215002,0.997675389525255,0.9970314715640817,0.8960105551580971,0.996525454879991,0.9888536985978671
1,0.952875652813653,0.9851381867541533,0.9890457515617458,0.9855788954477653,0.980974641800372,0.9918333654603818,0.990183085931244,0.7143180145626462,0.9799560271852785,0.9588529066192898
2,0.7295154063020403,0.281044809281881,0.11113664205608953,0.3383528971172248,0.9885623169483699,0.9824848511672156,0.9886250962500022,0.9202357061794351,0.986202313636493,0.9689940240816514
3,0.8674884350537775,0.977171121564522,0.9714469837932456,0.9802587607838408,0.979765126073126,0.8899386592981222,0.9161727766295349,0.40071686477308277,0.9456219904000059,0.7463036321685181
4,0.732108484953947,0.5057410047813778,0.6628908562036648,0.08036162232566035,0.8927576467077923,0.9875658360126655,0.9708738639703319,0.7005239388003742,0.9787221431035608,0.8095394526800941
