fold,mean_r2,r2_Q0_TOTAL_ASSETS,r2_Q0_TOTAL_LIABILITIES,r2_Q0_TOTAL_STOCKHOLDERS_EQUITY,r2_Q0_GROSS_PROFIT,r2_Q0_COST_OF_REVENUES,r2_Q0_REVENUES,r2_Q0_OPERATING_INCOME,r2_Q0_OPERATING_EXPENSES,r2_Q0_EBITDA
0,-0.2724544631089622,0.0138566225694301,0.7492384300680668,-0.6599577452626619,0.1384869152761986,0.4531992031478479,-0.036275738834628424,-4.278520252429903,0.9864133482327972,0.1814690492521932
1,0.8201509847104407,0.9816058388901673,0.9869447669781689,0.946660459943032,0.8682678738325427,0.9723340919072805,0.9638807958850746,0.3572087366360761,0.6576007395942292,0.646855558727395
2,0.947309259929044,0.9983997881729014,0.9945856647113749,0.99432027134695,0.9708603434414539,0.9725651261874131,0.9844998399927867,0.7548063528801929,0.9648316073009937,0.8909143453273299
3,0.8363513910711432,0.9800365202647787,0.9785301588642158,0.9393609264186096,0.9579838043886623,0.9415368894607886,0.9448201168074989,0.17038998372704217,0.9190289262543427,0.6954751934543493
4,0.2057996951813801,0.5212322662142597,0.6740847218833643,0.111605816764486,-0.6781134736346224,0.9077960010703724,0.7104118384804742,-0.4390893795848667,0.0695232033684452,-0.025253737929491704
