experiment_id,model_name,validation_protocol,feature_set,target_strategy,mean_r2,fold_mean_r2_std,runtime_seconds,notes,r2_Q0_TOTAL_ASSETS,r2_Q0_TOTAL_LIABILITIES,r2_Q0_TOTAL_STOCKHOLDERS_EQUITY,r2_Q0_GROSS_PROFIT,r2_Q0_COST_OF_REVENUES,r2_Q0_REVENUES,r2_Q0_OPERATING_INCOME,r2_Q0_OPERATING_EXPENSES,r2_Q0_EBITDA
M4_nested_catboost_residual,CatBoost residual nested,nested GroupKFold outer=5 inner=4,history_metadata_engineered,outer_fold_prediction,0.75983867877668,0.2271658905358628,2576.9841677000004,M4 residual baseline and weights selected inside outer_train.,0.5864771116316505,0.8756188102989554,-0.14957505782652247,0.9777703158997212,0.9484531152584843,0.9486444460900296,0.7314712689952934,0.9753810845307977,0.9443070141117098
B4_nested_rule_blend,B4 nested rule blend,nested GroupKFold outer=5 inner=4,row_history_only,outer_fold_prediction,0.7520748939338062,0.24200040358233996,2576.8159405000006,B4 weights selected on each outer fold's inner OOF.,0.5587405683214817,0.861749312870751,-0.18094813184755298,0.979024092795477,0.9455439020501296,0.9475660287085846,0.733632858944059,0.975529793042579,0.9478356205187467
M6_nested_oof_blend,Nested per-target blend,nested GroupKFold outer=5 inner=4,history_metadata_engineered,outer_fold_prediction,0.7460350778199567,0.2171320063756561,2577.0702194999976,"M6 weights selected on inner OOF, then fixed for outer_valid.",0.5479441472040787,0.8739752785906473,-0.228473997453136,0.9777056900118977,0.9484531152584843,0.9486740499692692,0.7259869104447778,0.975595511550375,0.944454994803216
M7_nested_accounting_postprocess,Nested accounting postprocess,nested GroupKFold outer=5 inner=4,history_metadata_engineered,outer_fold_prediction,0.7460350778199567,0.2171320063756561,2577.1559261999973,"Accounting postprocess selected on inner OOF, then fixed for outer_valid.",0.5479441472040787,0.8739752785906473,-0.228473997453136,0.9777056900118977,0.9484531152584843,0.9486740499692692,0.7259869104447778,0.975595511550375,0.944454994803216
M3d_nested_catboost_direct,CatBoost direct nested,nested GroupKFold outer=5 inner=4,history_metadata_engineered,outer_fold_prediction,0.40639383902012655,0.07943970173187852,2576.8994509000004,M3d trained on outer_train and predicted outer_valid once.,0.4162509386792388,0.4376170788395173,0.11504828405407119,0.5434216806039689,0.6432019648871772,0.7204882390641517,0.37659898920486723,0.3742760261504938,0.030641349697652642
