experiment_id,model_name,feature_set,target_strategy,mean_r2,fold_mean_r2_std,runtime_seconds,notes,r2_Q0_TOTAL_ASSETS,r2_Q0_TOTAL_LIABILITIES,r2_Q0_TOTAL_STOCKHOLDERS_EQUITY,r2_Q0_GROSS_PROFIT,r2_Q0_COST_OF_REVENUES,r2_Q0_REVENUES,r2_Q0_OPERATING_INCOME,r2_Q0_OPERATING_EXPENSES,r2_Q0_EBITDA,validation_protocol
M7_accounting_postprocess,AccountingPostprocess,saved_oof_predictions,none,0.8201419024079736,0.13805004779234414,0.0,OOF-selected accounting adjustment: none.,0.6069968127271084,0.8761952760440881,0.21643240122863616,0.9826203458607919,0.9648730019875794,0.9731137301391801,0.8117222609802343,0.9873142444298292,0.9620090482743154,
M6_oof_blend,OOFWeightedBlend,saved_oof_predictions,per_target_oof_blend,0.8201419024079736,0.13805004779234414,0.0,"Per-target OOF blend of B4, M3d and M4.",0.6069968127271084,0.8761952760440881,0.21643240122863616,0.9826203458607919,0.9648730019875794,0.9731137301391801,0.8117222609802343,0.9873142444298292,0.9620090482743154,
M6_nested_oof_blend,Nested per-target blend,history_metadata_engineered,outer_fold_prediction,0.7460350778199567,0.2171320063756561,2577.0702194999976,"M6 weights selected on inner OOF, then fixed for outer_valid.",0.5479441472040787,0.8739752785906473,-0.228473997453136,0.9777056900118977,0.9484531152584843,0.9486740499692692,0.7259869104447778,0.975595511550375,0.944454994803216,nested GroupKFold outer=5 inner=4
M7_nested_accounting_postprocess,Nested accounting postprocess,history_metadata_engineered,outer_fold_prediction,0.7460350778199567,0.2171320063756561,2577.1559261999973,"Accounting postprocess selected on inner OOF, then fixed for outer_valid.",0.5479441472040787,0.8739752785906473,-0.228473997453136,0.9777056900118977,0.9484531152584843,0.9486740499692692,0.7259869104447778,0.975595511550375,0.944454994803216,nested GroupKFold outer=5 inner=4
