experiment_id,model_name,feature_set,target_strategy,mean_r2,fold_mean_r2_std,runtime_seconds,notes,r2_Q0_TOTAL_ASSETS,r2_Q0_TOTAL_LIABILITIES,r2_Q0_TOTAL_STOCKHOLDERS_EQUITY,r2_Q0_GROSS_PROFIT,r2_Q0_COST_OF_REVENUES,r2_Q0_REVENUES,r2_Q0_OPERATING_INCOME,r2_Q0_OPERATING_EXPENSES,r2_Q0_EBITDA
B0,B0_baseline,row_history_only,direct_rule,-0.0022301589192505774,0.0026209370511867907,9.417275200001313,Mean target by train fold.,-0.002941612588899689,-0.0011739837324431512,-0.006664480857362598,-0.0014307294784696722,-0.0011468841541151242,-0.0011729701765990086,-0.0009336781573261455,-0.0016075902545975573,-0.0029995008734422512
B1,B1_baseline,row_history_only,direct_rule,0.7226411791936569,0.17596677362161373,9.417275200001313,Recent quarter copy baseline.,0.37171166587152094,0.6357224875711011,-0.144362062419078,0.9825808767600744,0.9614016843145269,0.9727338434784873,0.7827114335623915,0.982135503918491,0.9591351796853973
B2,B2_baseline,row_history_only,direct_rule,0.3315015116779107,1.5612095914501378,9.417275200001313,Seasonal quarter copy baseline.,0.5587405683214817,0.861749312870751,-0.06439975623387961,0.46378523916404757,0.848445125032041,0.6616816734520191,-1.5820006612417692,0.915688760896496,0.3198233428400087
B3,B3_baseline,row_history_only,direct_rule,0.5004145170263742,0.6420423620058222,9.417275200001313,Short trend extrapolation baseline.,0.22737451606538794,0.41107539063721044,-0.1688259311915059,0.7702925947097962,0.8415691262808564,0.800553820614089,-0.053004898970550274,0.9338463455219159,0.7408496895701674
B4,B4_baseline_blend,row_history_only,baseline_oof_blend,0.7830835099204251,0.20322115348311584,9.417275200001313,Per-target OOF blend of B1/B2/B3.,0.5587405683214817,0.861749312870751,-0.05296033455914251,0.9825808767600744,0.964016698003783,0.9727983754805811,0.8117222609802343,0.9870947831517481,0.9620090482743154
