target,candidate,members,weights,r2
Q0_TOTAL_ASSETS,B1+B2+B3,"B1,B2,B3","0.2,0.8,0.0",0.5512757325781694
Q0_TOTAL_ASSETS,B1+B2+B3,"B1,B2,B3","0.3,0.0,0.7",0.2847969615062368
Q0_TOTAL_ASSETS,B1+B2+B3,"B1,B2,B3","0.3,0.1,0.6",0.34141071108295107
Q0_TOTAL_ASSETS,B1+B2+B3,"B1,B2,B3","0.3,0.2,0.5",0.3913976120417261
Q0_TOTAL_ASSETS,B1+B2+B3,"B1,B2,B3","0.3,0.3,0.4",0.4347576643825617
Q0_TOTAL_ASSETS,B1+B2+B3,"B1,B2,B3","0.3,0.4,0.3",0.4714908681054578
Q0_TOTAL_ASSETS,B1+B2+B3,"B1,B2,B3","0.3,0.5,0.2",0.5015972232104149
Q0_TOTAL_ASSETS,B1+B2+B3,"B1,B2,B3","0.3,0.6,0.1",0.5250767296974326
Q0_TOTAL_ASSETS,B1+B2+B3,"B1,B2,B3","0.3,0.7,0.0",0.5419293875665108
Q0_TOTAL_ASSETS,B1+B2+B3,"B1,B2,B3","0.4,0.0,0.6",0.3012480051295656
Q0_TOTAL_ASSETS,B1+B2+B3,"B1,B2,B3","0.4,0.1,0.5",0.3557471965630725
Q0_TOTAL_ASSETS,B1+B2+B3,"B1,B2,B3","0.4,0.2,0.4",0.40361953937864026
Q0_TOTAL_ASSETS,B1+B2+B3,"B1,B2,B3","0.4,0.3,0.3",0.4448650335762685
Q0_TOTAL_ASSETS,B1+B2+B3,"B1,B2,B3","0.4,0.4,0.2",0.47948367915595735
Q0_TOTAL_ASSETS,B1+B2+B3,"B1,B2,B3","0.4,0.5,0.1",0.5074754761177069
Q0_TOTAL_ASSETS,B1+B2+B3,"B1,B2,B3","0.4,0.6,0.0",0.5288404244615171
Q0_TOTAL_ASSETS,B1+B2+B3,"B1,B2,B3","0.5,0.0,0.5",0.3163541629910841
Q0_TOTAL_ASSETS,B1+B2+B3,"B1,B2,B3","0.5,0.1,0.4",0.3687387962813836
Q0_TOTAL_ASSETS,B1+B2+B3,"B1,B2,B3","0.5,0.2,0.3",0.41449658095374387
Q0_TOTAL_ASSETS,B1+B2+B3,"B1,B2,B3","0.5,0.3,0.2",0.4536275170081647
Q0_TOTAL_ASSETS,B1+B2+B3,"B1,B2,B3","0.5,0.4,0.1",0.4861316044446464
Q0_TOTAL_ASSETS,B1+B2+B3,"B1,B2,B3","0.5,0.5,0.0",0.5120088432631886
Q0_TOTAL_ASSETS,B1+B2+B3,"B1,B2,B3","0.6,0.0,0.4",0.3301154350907922
Q0_TOTAL_ASSETS,B1+B2+B3,"B1,B2,B3","0.6,0.1,0.3",0.38038551023788447
Q0_TOTAL_ASSETS,B1+B2+B3,"B1,B2,B3","0.6,0.2,0.2",0.42402873676703734
Q0_TOTAL_ASSETS,B1+B2+B3,"B1,B2,B3","0.6,0.3,0.1",0.4610451146782508
Q0_TOTAL_ASSETS,B1+B2+B3,"B1,B2,B3","0.6,0.4,0.0",0.49143464397152503
Q0_TOTAL_ASSETS,B1+B2+B3,"B1,B2,B3","0.7,0.0,0.3",0.34253182142869
