target,stage,members,weights,r2
Q0_TOTAL_ASSETS,coarse,"B4,M3d,M4","0.10,0.60,0.30",0.6869444540070859
Q0_TOTAL_ASSETS,coarse,"B4,M3d,M4","0.10,0.65,0.25",0.6828178933795503
Q0_TOTAL_ASSETS,coarse,"B4,M3d,M4","0.10,0.70,0.20",0.6777458360481129
Q0_TOTAL_ASSETS,coarse,"B4,M3d,M4","0.10,0.75,0.15",0.6717282820127737
Q0_TOTAL_ASSETS,coarse,"B4,M3d,M4","0.10,0.80,0.10",0.6647652312735327
Q0_TOTAL_ASSETS,coarse,"B4,M3d,M4","0.10,0.85,0.05",0.65685668383039
Q0_TOTAL_ASSETS,coarse,"B4,M3d,M4","0.10,0.90,0.00",0.6480026396833454
Q0_TOTAL_ASSETS,coarse,"B4,M3d,M4","0.15,0.00,0.85",0.6574290088579948
Q0_TOTAL_ASSETS,coarse,"B4,M3d,M4","0.15,0.05,0.80",0.6647049312538784
Q0_TOTAL_ASSETS,coarse,"B4,M3d,M4","0.15,0.10,0.75",0.6710353569458603
Q0_TOTAL_ASSETS,coarse,"B4,M3d,M4","0.15,0.15,0.70",0.6764202859339404
Q0_TOTAL_ASSETS,coarse,"B4,M3d,M4","0.15,0.20,0.65",0.6808597182181186
Q0_TOTAL_ASSETS,coarse,"B4,M3d,M4","0.15,0.25,0.60",0.6843536537983952
Q0_TOTAL_ASSETS,coarse,"B4,M3d,M4","0.15,0.30,0.55",0.6869020926747698
Q0_TOTAL_ASSETS,coarse,"B4,M3d,M4","0.15,0.35,0.50",0.6885050348472428
Q0_TOTAL_ASSETS,coarse,"B4,M3d,M4","0.15,0.40,0.45",0.6891624803158141
Q0_TOTAL_ASSETS,coarse,"B4,M3d,M4","0.15,0.45,0.40",0.6888744290804834
Q0_TOTAL_ASSETS,coarse,"B4,M3d,M4","0.15,0.50,0.35",0.687640881141251
Q0_TOTAL_ASSETS,coarse,"B4,M3d,M4","0.15,0.55,0.30",0.6854618364981169
Q0_TOTAL_ASSETS,coarse,"B4,M3d,M4","0.15,0.60,0.25",0.6823372951510809
Q0_TOTAL_ASSETS,coarse,"B4,M3d,M4","0.15,0.65,0.20",0.6782672571001434
Q0_TOTAL_ASSETS,coarse,"B4,M3d,M4","0.15,0.70,0.15",0.6732517223453038
Q0_TOTAL_ASSETS,coarse,"B4,M3d,M4","0.15,0.75,0.10",0.6672906908865626
Q0_TOTAL_ASSETS,coarse,"B4,M3d,M4","0.15,0.80,0.05",0.6603841627239194
Q0_TOTAL_ASSETS,coarse,"B4,M3d,M4","0.15,0.85,0.00",0.6525321378573746
Q0_TOTAL_ASSETS,coarse,"B4,M3d,M4","0.20,0.00,0.80",0.6520858265706676
Q0_TOTAL_ASSETS,coarse,"B4,M3d,M4","0.20,0.05,0.75",0.6594182715431492
Q0_TOTAL_ASSETS,coarse,"B4,M3d,M4","0.20,0.10,0.70",0.665805219811729
Q0_TOTAL_ASSETS,coarse,"B4,M3d,M4","0.20,0.15,0.65",0.671246671376407
Q0_TOTAL_ASSETS,coarse,"B4,M3d,M4","0.20,0.20,0.60",0.6757426262371833
Q0_TOTAL_ASSETS,coarse,"B4,M3d,M4","0.20,0.25,0.55",0.6792930843940578
Q0_TOTAL_ASSETS,coarse,"B4,M3d,M4","0.20,0.30,0.50",0.6818980458470305
Q0_TOTAL_ASSETS,coarse,"B4,M3d,M4","0.20,0.35,0.45",0.6835575105961014
Q0_TOTAL_ASSETS,coarse,"B4,M3d,M4","0.20,0.40,0.40",0.6842714786412705
Q0_TOTAL_ASSETS,coarse,"B4,M3d,M4","0.20,0.45,0.35",0.6840399499825378
Q0_TOTAL_ASSETS,coarse,"B4,M3d,M4","0.20,0.50,0.30",0.6828629246199034
Q0_TOTAL_ASSETS,coarse,"B4,M3d,M4","0.20,0.55,0.25",0.6807404025533672
Q0_TOTAL_ASSETS,coarse,"B4,M3d,M4","0.20,0.60,0.20",0.6776723837829293
Q0_TOTAL_ASSETS,coarse,"B4,M3d,M4","0.20,0.65,0.15",0.6736588683085896
Q0_TOTAL_ASSETS,coarse,"B4,M3d,M4","0.20,0.70,0.10",0.6686998561303479
Q0_TOTAL_ASSETS,coarse,"B4,M3d,M4","0.20,0.75,0.05",0.6627953472482047
Q0_TOTAL_ASSETS,coarse,"B4,M3d,M4","0.20,0.80,0.00",0.6559453416621595
Q0_TOTAL_ASSETS,coarse,"B4,M3d,M4","0.25,0.00,0.75",0.646684891771194
Q0_TOTAL_ASSETS,coarse,"B4,M3d,M4","0.25,0.05,0.70",0.6540738593202733
Q0_TOTAL_ASSETS,coarse,"B4,M3d,M4","0.25,0.10,0.65",0.6605173301654511
Q0_TOTAL_ASSETS,coarse,"B4,M3d,M4","0.25,0.15,0.60",0.6660153043067272
Q0_TOTAL_ASSETS,coarse,"B4,M3d,M4","0.25,0.20,0.55",0.6705677817441014
Q0_TOTAL_ASSETS,coarse,"B4,M3d,M4","0.25,0.25,0.50",0.6741747624775738
Q0_TOTAL_ASSETS,coarse,"B4,M3d,M4","0.25,0.30,0.45",0.6768362465071442
Q0_TOTAL_ASSETS,coarse,"B4,M3d,M4","0.25,0.35,0.40",0.6785522338328132
Q0_TOTAL_ASSETS,coarse,"B4,M3d,M4","0.25,0.40,0.35",0.6793227244545803
Q0_TOTAL_ASSETS,coarse,"B4,M3d,M4","0.25,0.45,0.30",0.6791477183724456
Q0_TOTAL_ASSETS,coarse,"B4,M3d,M4","0.25,0.50,0.25",0.6780272155864091
Q0_TOTAL_ASSETS,coarse,"B4,M3d,M4","0.25,0.55,0.20",0.6759612160964708
Q0_TOTAL_ASSETS,coarse,"B4,M3d,M4","0.25,0.60,0.15",0.6729497199026307
Q0_TOTAL_ASSETS,coarse,"B4,M3d,M4","0.25,0.65,0.10",0.668992727004889
Q0_TOTAL_ASSETS,coarse,"B4,M3d,M4","0.25,0.70,0.05",0.6640902374032454
Q0_TOTAL_ASSETS,coarse,"B4,M3d,M4","0.25,0.75,0.00",0.6582422510977001
Q0_TOTAL_ASSETS,coarse,"B4,M3d,M4","0.30,0.00,0.70",0.6412262044595733
Q0_TOTAL_ASSETS,coarse,"B4,M3d,M4","0.30,0.05,0.65",0.6486716945852509
Q0_TOTAL_ASSETS,coarse,"B4,M3d,M4","0.30,0.10,0.60",0.6551716880070266
Q0_TOTAL_ASSETS,coarse,"B4,M3d,M4","0.30,0.15,0.55",0.6607261847249004
Q0_TOTAL_ASSETS,coarse,"B4,M3d,M4","0.30,0.20,0.50",0.6653351847388725
Q0_TOTAL_ASSETS,coarse,"B4,M3d,M4","0.30,0.25,0.45",0.6689986880489429
Q0_TOTAL_ASSETS,coarse,"B4,M3d,M4","0.30,0.30,0.40",0.6717166946551115
Q0_TOTAL_ASSETS,coarse,"B4,M3d,M4","0.30,0.35,0.35",0.6734892045573783
Q0_TOTAL_ASSETS,coarse,"B4,M3d,M4","0.30,0.40,0.30",0.6743162177557434
Q0_TOTAL_ASSETS,coarse,"B4,M3d,M4","0.30,0.45,0.25",0.6741977342502066
Q0_TOTAL_ASSETS,coarse,"B4,M3d,M4","0.30,0.50,0.20",0.6731337540407681
Q0_TOTAL_ASSETS,coarse,"B4,M3d,M4","0.30,0.55,0.15",0.6711242771274278
Q0_TOTAL_ASSETS,coarse,"B4,M3d,M4","0.30,0.60,0.10",0.6681693035101857
Q0_TOTAL_ASSETS,coarse,"B4,M3d,M4","0.30,0.65,0.05",0.6642688331890418
Q0_TOTAL_ASSETS,coarse,"B4,M3d,M4","0.30,0.70,0.00",0.6594228661639961
Q0_TOTAL_ASSETS,coarse,"B4,M3d,M4","0.35,0.00,0.65",0.6357097646358062
Q0_TOTAL_ASSETS,coarse,"B4,M3d,M4","0.35,0.05,0.60",0.6432117773380817
Q0_TOTAL_ASSETS,coarse,"B4,M3d,M4","0.35,0.10,0.55",0.6497682933364551
Q0_TOTAL_ASSETS,coarse,"B4,M3d,M4","0.35,0.15,0.50",0.6553793126309271
Q0_TOTAL_ASSETS,coarse,"B4,M3d,M4","0.35,0.20,0.45",0.6600448352214973
Q0_TOTAL_ASSETS,coarse,"B4,M3d,M4","0.35,0.25,0.40",0.6637648611081655
Q0_TOTAL_ASSETS,coarse,"B4,M3d,M4","0.35,0.30,0.35",0.6665393902909319
Q0_TOTAL_ASSETS,coarse,"B4,M3d,M4","0.35,0.35,0.30",0.6683684227697967
Q0_TOTAL_ASSETS,coarse,"B4,M3d,M4","0.35,0.40,0.25",0.6692519585447598
Q0_TOTAL_ASSETS,coarse,"B4,M3d,M4","0.35,0.45,0.20",0.6691899976158209
